id,president,year,majortopic
2103,George W. Bush,2008,19
2104,George W. Bush,2008,16
2105,George W. Bush,2008,16
2106,George W. Bush,2008,16
2107,George W. Bush,2008,16
2108,George W. Bush,2008,16
2109,George W. Bush,2008,16
2110,George W. Bush,2008,16
2111,George W. Bush,2008,16
2112,George W. Bush,2008,16
2113,George W. Bush,2008,16
2114,George W. Bush,2008,16
2115,George W. Bush,2008,16
2116,George W. Bush,2008,16
2117,George W. Bush,2008,16
2118,George W. Bush,2008,16
2119,George W. Bush,2008,16
2120,George W. Bush,2008,16
2121,George W. Bush,2008,16
2122,George W. Bush,2008,16
2123,George W. Bush,2008,16
2124,George W. Bush,2008,16
2125,George W. Bush,2008,16
2126,George W. Bush,2008,16
2127,George W. Bush,2008,16
2128,George W. Bush,2008,16
2129,George W. Bush,2008,16
2130,George W. Bush,2008,19
2131,George W. Bush,2008,19
2132,George W. Bush,2008,19
2133,George W. Bush,2008,19
2134,George W. Bush,2008,19
2135,George W. Bush,2008,19
2136,George W. Bush,2008,19
2137,George W. Bush,2008,19
2138,George W. Bush,2008,16
2139,George W. Bush,2008,16
2140,George W. Bush,2008,16
2141,George W. Bush,2008,19
2142,George W. Bush,2008,16
2143,George W. Bush,2008,19
2144,George W. Bush,2008,19
2145,George W. Bush,2008,19
2146,George W. Bush,2008,19
2147,George W. Bush,2008,19
2148,George W. Bush,2008,19
2149,George W. Bush,2008,19
2150,George W. Bush,2008,19
2151,George W. Bush,2008,19
2152,George W. Bush,2008,19
2153,George W. Bush,2008,19
2154,George W. Bush,2008,19
2155,George W. Bush,2008,19
2156,George W. Bush,2008,19
2157,George W. Bush,2008,19
2158,George W. Bush,2008,19
2159,George W. Bush,2008,19
2160,George W. Bush,2008,19
2161,George W. Bush,2008,19
2162,George W. Bush,2008,19
2163,George W. Bush,2008,19
2164,George W. Bush,2008,16
2165,George W. Bush,2008,16
2166,George W. Bush,2008,16
2167,George W. Bush,2008,16
2168,George W. Bush,2008,16
2169,George W. Bush,2008,16
2170,George W. Bush,2008,16
2171,George W. Bush,2008,16
2172,George W. Bush,2008,16
2173,George W. Bush,2008,16
2174,George W. Bush,2008,16
2175,George W. Bush,2008,16
2176,George W. Bush,2008,16
2177,George W. Bush,2008,16
2178,George W. Bush,2008,16
2179,George W. Bush,2008,16
2180,George W. Bush,2008,16
2181,George W. Bush,2008,16
2182,George W. Bush,2008,16
2183,George W. Bush,2008,16
2184,George W. Bush,2008,16
2185,George W. Bush,2008,16
2186,George W. Bush,2008,16
2187,George W. Bush,2008,16
2188,George W. Bush,2008,19
2189,George W. Bush,2008,19
2190,George W. Bush,2008,19
2191,George W. Bush,2008,19
2192,George W. Bush,2008,19
2193,George W. Bush,2008,19
2194,George W. Bush,2008,19
2195,George W. Bush,2008,19
2196,George W. Bush,2008,19
2197,George W. Bush,2008,19
2198,George W. Bush,2008,19
2199,George W. Bush,2008,19
2200,George W. Bush,2008,19
2201,George W. Bush,2008,19
2202,George W. Bush,2008,16
2203,George W. Bush,2008,16
2204,George W. Bush,2008,16
2205,George W. Bush,2008,16
2206,George W. Bush,2008,16
2207,George W. Bush,2008,16
2208,George W. Bush,2008,16
2209,George W. Bush,2008,16
2210,George W. Bush,2008,16
2211,George W. Bush,2008,16
2212,George W. Bush,2008,-555
2213,George W. Bush,2008,-555
2214,George W. Bush,2008,-555
2215,George W. Bush,2008,-555
2216,George W. Bush,2008,-555
2217,George W. Bush,2008,-555
2218,George W. Bush,2008,-555
2219,George W. Bush,2008,-555
2220,George W. Bush,2008,1
