president,year,majortopic
George W. Bush,2001,13
George W. Bush,2001,13
George W. Bush,2001,20
George W. Bush,2001,0
George W. Bush,2001,0
George W. Bush,2001,0
George W. Bush,2001,0
George W. Bush,2001,0
George W. Bush,2001,0
George W. Bush,2001,0
George W. Bush,2001,0
George W. Bush,2001,0
George W. Bush,2001,0
George W. Bush,2001,0
George W. Bush,2001,0
George W. Bush,2001,0
George W. Bush,2001,0
George W. Bush,2001,0
George W. Bush,2001,0
George W. Bush,2001,0
George W. Bush,2001,0
George W. Bush,2001,0
George W. Bush,2001,0
George W. Bush,2001,0
George W. Bush,2001,0
George W. Bush,2001,0
George W. Bush,2002,0
George W. Bush,2002,0
George W. Bush,2002,0
George W. Bush,2002,19
George W. Bush,2002,19
George W. Bush,2002,19
George W. Bush,2002,19
George W. Bush,2002,19
George W. Bush,2002,19
George W. Bush,2002,19
George W. Bush,2002,19
George W. Bush,2002,19
George W. Bush,2002,19
George W. Bush,2002,19
George W. Bush,2002,19
George W. Bush,2002,19
George W. Bush,2002,19
George W. Bush,2002,19
George W. Bush,2002,19
George W. Bush,2002,19
George W. Bush,2002,19
George W. Bush,2002,19
George W. Bush,2002,19
George W. Bush,2002,19
George W. Bush,2002,19
George W. Bush,2002,19
George W. Bush,2002,19
George W. Bush,2002,19
George W. Bush,2002,19
George W. Bush,2002,19
George W. Bush,2002,19
George W. Bush,2002,19
George W. Bush,2002,19
George W. Bush,2002,19
George W. Bush,2002,19
George W. Bush,2002,19
George W. Bush,2002,19
George W. Bush,2002,19
George W. Bush,2002,19
George W. Bush,2002,19
George W. Bush,2002,19
George W. Bush,2002,19
George W. Bush,2002,19
George W. Bush,2002,19
George W. Bush,2002,19
George W. Bush,2002,19
George W. Bush,2002,19
George W. Bush,2002,19
George W. Bush,2002,19
George W. Bush,2002,19
George W. Bush,2002,19
George W. Bush,2002,19
George W. Bush,2002,19
George W. Bush,2002,19
George W. Bush,2002,19
George W. Bush,2002,19
George W. Bush,2002,19
George W. Bush,2002,19
George W. Bush,2002,19
George W. Bush,2002,19
George W. Bush,2002,19
George W. Bush,2002,19
George W. Bush,2002,19
George W. Bush,2002,19
George W. Bush,2002,19
George W. Bush,2002,19
George W. Bush,2002,19
George W. Bush,2002,19
George W. Bush,2002,19
George W. Bush,2002,19
George W. Bush,2002,19
George W. Bush,2002,19
George W. Bush,2002,19
George W. Bush,2002,19
George W. Bush,2002,19
George W. Bush,2002,19
George W. Bush,2002,16
George W. Bush,2002,1
George W. Bush,2002,0
