Year,Month,Day of Month,Day of Week,Channel,Story #,Topic,Quarter
2001,January,30,Tuesday,ABC,1,16,11
2001,January,30,Tuesday,ABC,2,20,11
2001,January,30,Tuesday,CBS,1,15,11
2001,January,30,Tuesday,CBS,2,1,11
2001,January,30,Tuesday,NBC,1,15,11
2001,January,30,Tuesday,NBC,2,1,11
2001,January,31,Wednesday,ABC,1,1,11
2001,January,31,Wednesday,ABC,2,1,11
2001,January,31,Wednesday,CBS,1,1,11
2001,January,31,Wednesday,CBS,2,1,11
2001,January,31,Wednesday,NBC,1,1,11
2001,January,31,Wednesday,NBC,2,19,11
2001,February,1,Thursday,ABC,1,20,11
2001,February,1,Thursday,ABC,2,2,11
2001,February,1,Thursday,CBS,1,8,11
2001,February,1,Thursday,CBS,2,8,11
2001,February,1,Thursday,NBC,1,20,11
2001,February,1,Thursday,NBC,2,99,11
2001,February,2,Friday,ABC,1,20,11
2001,February,2,Friday,ABC,2,19,11
2001,February,2,Friday,CBS,1,5,11
2001,February,2,Friday,CBS,2,1,11
2001,February,2,Friday,NBC,1,5,11
2001,February,2,Friday,NBC,2,1,11
2001,February,5,Monday,ABC,1,12,11
2001,February,5,Monday,ABC,2,1,11
2001,February,5,Monday,CBS,1,12,11
2001,February,5,Monday,CBS,2,12,11
2001,February,5,Monday,NBC,1,12,11
2001,February,5,Monday,NBC,2,1,11
2001,February,6,Tuesday,ABC,1,19,11
2001,February,6,Tuesday,ABC,2,5,11
2001,February,6,Tuesday,CBS,1,19,11
2001,February,6,Tuesday,CBS,2,12,11
2001,February,6,Tuesday,NBC,1,19,11
2001,February,6,Tuesday,NBC,2,20,11
2001,February,7,Wednesday,ABC,1,20,11
2001,February,7,Wednesday,ABC,2,15,11
2001,February,7,Wednesday,CBS,1,12,11
2001,February,7,Wednesday,CBS,2,16,11
2001,February,7,Wednesday,NBC,1,20,11
2001,February,7,Wednesday,NBC,2,20,11
2001,February,8,Thursday,ABC,1,1,11
2001,February,8,Thursday,ABC,2,20,11
2001,February,8,Thursday,CBS,1,1,11
2001,February,8,Thursday,CBS,2,1,11
2001,February,8,Thursday,NBC,1,20,11
2001,February,8,Thursday,NBC,2,1,11
2001,February,9,Friday,ABC,1,16,11
2001,February,9,Friday,ABC,2,16,11
2001,February,9,Friday,CBS,1,8,11
2001,February,9,Friday,CBS,2,1,11
2001,February,9,Friday,NBC,1,20,11
2001,February,9,Friday,NBC,2,10,11
2001,February,12,Monday,ABC,1,17,11
2001,February,12,Monday,ABC,2,17,11
2001,February,12,Monday,CBS,1,20,11
2001,February,12,Monday,CBS,2,16,11
2001,February,12,Monday,NBC,1,20,11
2001,February,12,Monday,NBC,2,16,11
2001,February,13,Tuesday,ABC,1,16,11
2001,February,13,Tuesday,ABC,2,20,11
2001,February,13,Tuesday,CBS,1,20,11
2001,February,13,Tuesday,CBS,2,20,11
