Year,Month,Day of Month,Day of Week,Channel,Story #,Topic,Quarter
1968,September,9,Monday,ABC,2,19,683
1968,September,9,Monday,CBS,1,31,683
1968,September,9,Monday,CBS,2,31,683
1968,September,9,Monday,NBC,1,31,683
1968,September,9,Monday,NBC,2,19,683
1968,September,10,Tuesday,ABC,1,16,683
1968,September,10,Tuesday,ABC,2,99,683
1968,September,10,Tuesday,CBS,1,16,683
1968,September,10,Tuesday,CBS,2,31,683
1968,September,10,Tuesday,NBC,1,16,683
1968,September,10,Tuesday,NBC,2,16,683
1968,September,11,Wednesday,ABC,1,31,683
1968,September,11,Wednesday,ABC,2,31,683
1968,September,11,Wednesday,CBS,1,31,683
1968,September,11,Wednesday,CBS,2,31,683
1968,September,11,Wednesday,NBC,1,16,683
1968,September,11,Wednesday,NBC,2,31,683
1968,September,12,Thursday,ABC,1,31,683
1968,September,12,Thursday,ABC,2,31,683
1968,September,12,Thursday,CBS,1,31,683
1968,September,12,Thursday,CBS,2,31,683
1968,September,12,Thursday,NBC,1,16,683
1968,September,12,Thursday,NBC,2,16,683
1968,September,13,Friday,ABC,1,16,683
1968,September,13,Friday,ABC,2,31,683
1968,September,13,Friday,CBS,1,20,683
1968,September,13,Friday,CBS,2,31,683
1968,September,13,Friday,NBC,1,20,683
1968,September,13,Friday,NBC,2,16,683
1968,September,16,Monday,ABC,1,17,683
1968,September,16,Monday,ABC,2,12,683
1968,September,16,Monday,CBS,1,31,683
1968,September,16,Monday,CBS,2,31,683
1968,September,16,Monday,NBC,1,17,683
1968,September,16,Monday,NBC,2,17,683
1968,September,17,Tuesday,ABC,1,99,683
1968,September,17,Tuesday,ABC,2,31,683
1968,September,17,Tuesday,CBS,1,20,683
1968,September,17,Tuesday,CBS,2,19,683
1968,September,17,Tuesday,NBC,1,20,683
1968,September,17,Tuesday,NBC,2,19,683
1968,September,18,Wednesday,ABC,1,31,683
1968,September,18,Wednesday,ABC,2,31,683
1968,September,18,Wednesday,CBS,1,12,683
1968,September,18,Wednesday,CBS,2,12,683
1968,September,18,Wednesday,NBC,1,12,683
1968,September,18,Wednesday,NBC,2,12,683
1968,September,19,Thursday,ABC,1,12,683
1968,September,19,Thursday,ABC,2,31,683
1968,September,19,Thursday,CBS,1,31,683
1968,September,19,Thursday,CBS,2,99,683
1968,September,19,Thursday,NBC,1,31,683
1968,September,19,Thursday,NBC,2,31,683
1968,September,20,Friday,ABC,1,99,683
1968,September,20,Friday,ABC,2,31,683
1968,September,20,Friday,CBS,1,16,683
1968,September,20,Friday,CBS,2,19,683
1968,September,20,Friday,NBC,1,31,683
1968,September,20,Friday,NBC,2,31,683
1968,September,23,Monday,ABC,1,31,683
1968,September,23,Monday,ABC,2,31,683
